Fuel_Type,CO2_kgCO2_per_mmBtu,CH4_gCH4_per_mmBtu,N2O_gN2O_per_mmBtu
Anthracite,103.69,11,1.6
Bituminous,93.28,11,1.6
Subbituminous,97.17,11,1.6
Lignite,97.72,11,1.6
Coal Coke,113.67,11,1.6
Mixed (Commercial sector),94.27,11,1.6
Mixed (Industrial coking),93.9,11,1.6
Mixed (Industrial sector),94.67,11,1.6
Mixed (Electric Power sector),95.52,11,1.6
Natural Gas (Weighted U.S. Average),53.06,1,0.1
Distillate Fuel Oil No. 1,73.25,3,0.6
Distillate Fuel Oil No. 2,73.96,3,0.6
Distillate Fuel Oil No. 4,75.04,3,0.6
Residual Fuel Oil No. 5,72.93,3,0.6
Residual Fuel Oil No. 6,75.1,3,0.6
Used Oil,74,3,0.6
Kerosene,75.2,3,0.6
Liquefied petroleum gases (LPG),61.71,3,0.6
Propane,62.87,3,0.6
Propylene,67.77,3,0.6
Ethane,59.6,3,0.6
Ethanol,68.44,3,0.11
Ethylene,65.96,3,0.6
Isobutane,64.94,3,0.6
Isobutylene,68.86,3,0.6
Butane,64.77,3,0.6
Butylene,68.72,3,0.6
Naphtha (<401 deg F),68.02,3,0.6
Natural Gasoline,66.88,3,0.6
Other Oil (>401 deg F),76.22,3,0.6
Pentanes Plus,70.02,3,0.6
Petrochemical Feedstocks,71.02,3,0.6
Petroleum Coke,102.41,3,4.2
Special Naphtha,72.34,3,0.6
Unfinished Oils,74.54,3,0.6
Heavy Gas Oils,74.92,3,0.6
Lubricants,74.27,3,0.6
Motor Gasoline,70.22,3,0.6
Aviation Gasoline,69.25,3,0.6
Kerosene-Type Jet Fuel,72.22,3,0.6
Asphalt and Road Oil,75.36,3,0.6
Crude Oil,74.54,3,0.6
Municipal Solid Waste,90.7,32,4.2
Tires,85.97,32,4.2
Plastics,75,32,4.2
Blast Furnace Gas,274.32,0.022,0.1
Coke Oven Gas,46.85,0.48,0.1
Propane Gas,61.46,0.022,0.1
Fuel Gas,59,3,0.6
Wood and Wood Residuals (dry basis),93.8,7.2,3.6
Agricultural Byproducts,118.17,32,4.2
Peat,111.84,32,4.2
Solid Byproducts,105.51,32,4.2
Landfill Gas,52.07,3.2,0.63
Other Biomass Gases,52.07,3.2,0.63
Biomass Ethanol,68.44,1.1,0.11
Biodiesel,73.84,1.1,0.11
Rendered Animal Fat,71.06,1.1,0.11
Vegetable Oil,81.55,1.1,0.11
Biogas (Captured methane),52.07,1,0.63
Wood and Wood Residuals,93.8,7.2,3.6
Coke,113.67,11,1.6
Ethanol (100%),68.44,3,0.11
Biodiesel (100%),73.84,1.1,0.11
CFU MD Fuel Gas,59,3,0.6
4UF Fuel Gas,59,3,0.6
SRUMD Fuel Gas,59,3,0.6
HCC3 NG/OG Blend A,59,3,0.6
HCC3 NG/OG A and B,59,3,0.6
HCC-3A NG/OG A and B,59,3,0.6
HCC3A NG/OG Blend A,59,3,0.6
FurnGas,59,3,0.6
FurnGas,59,3,0.6
NOx Red. Agent,75,32,4.2
Process Gas,59,3,0.6
Ethylene Unit Tail Gas,65.96,3,0.6
Other Gaseous Fuel,59,3,0.6
Natural and Process Gas Blend,59,3,0.6
OCCrejects,93.8,7.2,3.6
VPS-2 Waste Gas,59,3,0.6
VPS-1 Waste Gas,59,3,0.6
H-OIL Waste Gas,59,3,0.6
